1,Monitor Batch,425,,16,409,,6,403,,2,401,,,401,,2,399,,1,398,,,398,,,398,,,398,,,398,,,398,,,398,0,27,398,0
2,"fn!oaO ,dxck",617,,418,199,500,440,259,,133,126,,26,100,200,196,104,300,359,45,200,136,109,,,109,100,164,45,99,94,50,200,7,243,,,243,1599,1973,243,0
3,"YsIH f;dr""",1995,,274,1721,,332,1389,,69,1320,,7,1313,,182,1131,,67,1064,,34,1030,,,1030,,17,1013,,27,986,,,986,,,986,0,1009,986,0
4,ysia jeiqua,25,45,70,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,45,70,0,0
5,"10 fY`Ksha isxy, jev ",50,,1,49,,,49,,,49,,,49,,,49,,,49,,,49,,,49,,,49,,,49,,,49,,,49,0,1,49,0
6,"11 fY`Ksha isxy, jev ",46,,,46,,2,44,,1,43,,,43,,,43,,,43,,,43,,,43,,,43,,,43,,,43,,,43,0,3,43,0
7,IT Book,318,,10,308,,2,306,,6,300,,1,299,,2,297,,4,293,,3,290,,,290,,3,287,,,287,,,287,,,287,0,31,287,0
8,English day file bag,10,45,42,13,,7,6,,,6,,,6,,3,3,,3,0,,,0,,,0,,,0,,,0,,,0,,,0,45,55,0,0
9,ghs,45,200,173,72,178,227,23,50,42,31,,6,25,119,135,9,52,61,0,182,,182,,,182,220,64,338,,34,304,,,304,,,304,1001,742,304,0
10,mqq.;s jdra;d,3,719,666,56,299,338,17,60,32,45,60,67,38,126,132,32,120,115,37,120,83,74,,1,73,50,85,38,60,68,30,,,30,,,30,1614,1587,30,0
11,ksjdi band,1861,,932,929,,42,887,,40,847,,22,825,,,825,,8,817,,6,811,,,811,,11,800,,13,787,,,787,,,787,0,1074,787,0
12,lSqvd mq.;s jdra;d,1659,,11,1648,,68,1580,,30,1550,,9,1541,,5,1536,,24,1512,,313,1199,,5,1194,,131,1063,,118,945,,,945,,,945,0,714,945,0
13,80 CR fldgq,63,,42,21,50,30,41,,7,34,,,34,43,24,53,50,56,47,,16,31,,2,29,30,29,30,,28,2,,,2,,,2,173,234,2,0
14,120 CR fldgq,0,,,0,,,0,,,0,,,0,14,3,11,50,16,45,,4,41,,,41,,22,19,,4,15,,,15,,,15,64,49,15,0
15,"160 CR  ;ks re,a",0,90,79,11,50,39,22,,15,7,,,7,30,36,1,56,0,57,,2,55,,,55,,4,51,,11,40,,,40,,,40,226,186,40,0
16,"200CR    ;ks re,a ",46,30,32,44,,7,37,,2,35,,2,33,6,27,12,50,9,53,,12,41,,1,40,,8,32,,9,23,,,23,,,23,86,109,23,0
17,"80 fmdvs ;ksrE,a",19,200,200,19,50,39,30,,25,5,,2,3,28,20,11,100,17,94,,35,59,,3,56,,51,5,150,55,100,,,100,,,100,528,447,100,0
18,"80 fmdvs fldgqsrE,a",33,,9,24,,4,20,,3,17,,,17,,7,10,50,10,50,,7,43,,1,42,,26,16,,16,0,,,0,,,0,50,83,0,0
19,"120 fmdvs fldgqsrE,a",88,,,88,,2,86,,,86,,,86,,1,85,,25,60,,1,59,,,59,,7,52,,19,33,,,33,,,33,0,55,33,0
20,"160 fmdvs fldgqsrE,a",273,,4,269,,,269,,,269,,,269,,3,266,,5,261,,1,260,,,260,,1,259,,,259,,,259,,,259,0,14,259,0
21,"200 fmdvs ;ksrE,a",22,40,30,32,,6,26,,1,25,,,25,,2,23,,21,2,,1,1,,,1,,1,0,,,0,,,0,,,0,40,62,0,0
22,"200 fmdvs fldgqsrE,a",135,,46,89,,1,88,,,88,,,88,,1,87,,2,85,,1,84,,,84,,,84,,,84,,,84,,,84,0,51,84,0
23,"ksjdi ,dxck",210,1798,1526,482,600,600,482,,,482,,,482,,,482,,,482,,,482,,,482,,,482,,,482,,,482,,,482,2398,2126,482,0
